Latitud,Longitud,precip(mm)
-11.522504806999905,-75.91206359899991,0.13429534435272217
-11.523692130999905,-75.91178893999995,0.13429534435272217
-11.524069785999927,-75.91224670399993,0.13429534435272217
-11.524663924999913,-75.91308593799994,0.13429534435272217
-11.52520465899994,-75.9140014649999,0.13429534435272217
-11.525959968999928,-75.91548156699992,0.13429534435272217
-11.526418685999943,-75.91618347199994,0.13429534435272217
-11.526986121999926,-75.9166488649999,0.13429534435272217
-11.528201102999958,-75.91740417499994,0.13429534435272217
-11.52917289699991,-75.91810607899993,0.13429534435272217
-11.530334472999925,-75.91880798299991,0.13429534435272217
-11.532440185999917,-75.92028808599991,0.13429534435272217
-11.534464835999927,-75.92174529999994,0.13429534435272217
-11.535868644999937,-75.92288207999991,0.13429534435272217
-11.538919448999934,-75.9254760739999,0.13429534435272217
-11.540107726999906,-75.92533874499992,0.13429534435272217
-11.540794372999926,-75.92539215099993,0.13429534435272217
-11.54237556499993,-75.92644500699993,0.13429534435272217
-11.543536185999926,-75.92725372299992,0.13429534435272217
-11.544697761999942,-75.92835998499993,0.13429534435272217
-11.545885085999942,-75.9300384519999,0.13429534435272217
-11.547289847999934,-75.93238830599995,0.13429534435272217
-11.54858493799992,-75.93441009499992,0.13429534435272217
-11.549476623999908,-75.9361419679999,0.13429534435272217
-11.549773215999949,-75.93708801299994,0.13429534435272217
-11.549827575999927,-75.93856811499995,0.13429534435272217
-11.54990863799992,-75.93962097199994,0.13429534435272217
-11.550718306999954,-75.94129943799993,0.13429534435272217
-11.552176475999943,-75.94288635299995,0.13429534435272217
-11.55347251899991,-75.9439163209999,0.13429534435272217
-11.554687499999943,-75.94451141399992,0.13429534435272217
-11.555902480999919,-75.9449157709999,0.13429534435272217
-11.557198523999944,-75.94518279999994,0.13429534435272217
-11.558249473999922,-75.94575500499991,0.13429534435272217
-11.559222220999914,-75.94680786099991,0.13429534435272217
-11.560693740999909,-75.9476928709999,0.13429534435272217
-11.561868667999931,-75.94807434099994,0.13429534435272217
-11.56254386899991,-75.94861602799995,0.13429534435272217
-11.563192367999932,-75.9492874149999,0.13429534435272217
-11.563434600999926,-75.95018005399993,0.13429534435272217
-11.563894271999914,-75.9510726929999,0.13429534435272217
-11.564460753999924,-75.95190429699994,0.13429534435272217
-11.56540584599992,-75.95258331299993,0.13429534435272217
-11.567349433999937,-75.95430755599995,0.13429534435272217
-11.568645476999905,-75.95525360099992,0.13429534435272217
-11.569698333999952,-75.95628356899994,0.13429534435272217
-11.570832252999935,-75.95735931399992,0.13429534435272217
-11.571993827999961,-75.95838928199993,0.13429534435272217
-11.573046683999905,-75.95903778099995,0.13429534435272217
-11.573694228999955,-75.95914459199992,0.13429534435272217
-11.574774741999931,-75.95898437499994,0.13429534435272217
-11.575503348999916,-75.95886993399995,0.13429534435272217
-11.576227180999922,-75.9589066499999,0.13429534435272217
-11.576556205999907,-75.9589233399999,0.13429534435272217
-11.577339171999938,-75.95919799799992,0.13429534435272217
-11.578284263999933,-75.9596557619999,0.13429534435272217
-11.578932761999909,-75.95970916699991,0.13429534435272217
-11.58028221099994,-75.95949554399994,0.13429534435272217
-11.582199096999943,-75.95911407499995,0.13429534435272217
-11.583873748999906,-75.95881652799994,0.13429534435272217
-11.58524990099994,-75.95886993399995,0.13429534435272217
-11.587548255999934,-75.95919036899994,0.13429534435272217
-11.588930129999937,-75.95947265599995,0.13429534435272217
-11.590656280999951,-75.95996093799994,0.13429534435272217
-11.59235095999992,-75.96067810099993,0.13429534435272217
-11.593862533999925,-75.96192169199992,0.13429534435272217
-11.595239638999942,-75.96370696999992,0.13429534435272217
-11.596671103999938,-75.96537780799991,0.13429534435272217
-11.597237586999938,-75.9661331179999,0.13429534435272217
-11.598074912999948,-75.96770477299992,0.13429534435272217
-11.598729133999939,-75.96858978299991,0.13429534435272217
-11.599810599999955,-75.96958923299991,0.13429534435272217
-11.600641250999956,-75.96994018599992,0.13429534435272217
-11.602114676999918,-75.97033691399992,0.13429534435272217
-11.603054046999944,-75.97066497799995,0.13429534435272217
-11.60374450699993,-75.97109985399993,0.13429534435272217
-11.60455036199994,-75.97208404499992,0.13429534435272217
-11.604743957999915,-75.97383117699991,0.13429534435272217
-11.605229377999933,-75.97480010999993,0.13429534435272217
-11.605904578999912,-75.97534179699994,0.13429534435272217
-11.60695743599996,-75.9761810299999,0.13429534435272217
-11.607929229999911,-75.97666168199993,0.13429534435272217
-11.609090804999937,-75.97736358599991,0.13429534435272217
-11.61057567599994,-75.97820281999992,0.13429534435272217
-11.611466407999956,-75.97955322299993,0.13429534435272217
-11.611871718999907,-75.98063659699994,0.13429534435272217
-11.611844062999921,-75.9824142459999,0.13429534435272217
-11.612006186999906,-75.9833374019999,0.13429534435272217
-11.61224937399993,-75.98379516599994,0.13429534435272217
-11.61281585699993,-75.9842758179999,0.13429534435272217
-11.614220618999923,-75.98479461699992,0.13429534435272217
-11.615381240999909,-75.98530578599991,0.13429534435272217
-11.615867614999956,-75.98527526899994,0.13429534435272217
-11.616218566999919,-75.98514556899994,0.13429534435272217
-11.616758346999916,-75.98474121099991,0.13429534435272217
-11.617136001999938,-75.98446655299995,0.13429534435272217
-11.617703437999921,-75.98455047599992,0.13429534435272217
-11.618378638999957,-75.98479461699992,0.13429534435272217
-11.618837356999904,-75.98514556899994,0.13429534435272217
-11.619890212999906,-75.9855728149999,0.13429534435272217
-11.620780944999922,-75.98581695599995,0.13429534435272217
-11.621401786999911,-75.98609161399992,0.13429534435272217
-11.621995925999954,-75.98660278299991,0.13429534435272217
-11.62264442399993,-75.98722076399991,0.13429534435272217
-11.623291968999922,-75.98825073199993,0.13429534435272217
-11.62342739099995,-75.98908233599991,0.13429534435272217
-11.62325954399995,-75.99038696299993,0.13429534435272217
-11.623291968999922,-75.99251556399992,0.13429534435272217
-11.623464583999919,-75.9937973019999,0.13429534435272217
-11.623642920999941,-75.99462127699991,0.13429534435272217
-11.62355518299995,-75.99559020999993,0.13429534435272217
-12.059621810999943,-77.1480407709999,0.03813495859503746
-12.058364867999956,-77.14591216999992,0.03813495859503746
-12.056465148999905,-77.1441879269999,0.03813495859503746
-12.053882598999905,-77.1425170899999,0.03813495859503746
-12.051086425999927,-77.14036560099993,0.03813495859503746
-12.049929618999954,-77.13951873799994,0.03813495859503746
-12.049213408999947,-77.13869476299993,0.03813495859503746
-12.04885005999995,-77.13803863499993,0.03813495859503746
-12.048144340999954,-77.13616180399993,0.03813495859503746
-12.047673224999926,-77.13473510699993,0.03813495859503746
-12.044939040999907,-77.12722015399993,0.03813495859503746
-12.044458388999942,-77.12594604499992,0.03813495859503746
-12.044342040999936,-77.12514495799991,0.03813495859503746
-12.044365882999955,-77.12384033199993,0.03813495859503746
-12.044728278999912,-77.12160491899994,0.03813495859503746
-12.045417785999916,-77.1181793209999,0.03813495859503746
-12.046044349999931,-77.1146469119999,0.03813495859503746
-12.046796798999935,-77.11038207999991,0.03813495859503746
-12.047298430999945,-77.10720825199991,0.03813495859503746
-12.047168731999932,-77.1045989989999,0.03813495859503746
-12.046859740999935,-77.10139465299994,0.03813495859503746
-12.04672813399992,-77.10012054399994,0.03813495859503746
-12.04623317699992,-77.09842681899994,0.03813495859503746
-12.045313834999945,-77.09662628199993,0.03813495859503746
-12.043829917999915,-77.0935592649999,0.03813495859503746
-12.04213619199993,-77.09008789099994,0.03813495859503746
-12.04102897599995,-77.08793640099992,0.03813495859503746
-12.03980064399991,-77.08517456099992,0.03813495859503746
-12.03964233399995,-77.08459472699991,0.03813495859503746
-12.039429664999943,-77.0836029049999,0.03813495859503746
-12.039389609999944,-77.08316039999994,0.03813495859503746
-12.039257049999947,-77.0830612179999,0.03813495859503746
-12.039208411999937,-77.08279418899991,0.03813495859503746
-12.038710593999951,-77.0784225459999,0.03813495859503746
-12.038344382999924,-77.07492065399992,0.03813495859503746
-12.037980079999954,-77.07160949699994,0.03813495859503746
-12.037838935999957,-77.07009124799993,0.03813495859503746
-12.038001059999942,-77.06868743899992,0.03813495859503746
-12.038368224999942,-77.06587982199994,0.03813495859503746
-12.038910865999924,-77.0618362429999,0.03813495859503746
-12.039467811999941,-77.05812072799995,0.03813495859503746
-12.039909362999936,-77.0552444459999,0.03813495859503746
-12.040394782999954,-77.05171203599991,0.03813495859503746
-12.04062175799993,-77.0499114989999,0.03813495859503746
-12.04075050399996,-77.0484313959999,0.03813495859503746
-12.040449141999943,-77.04570007299992,0.03813495859503746
-12.04024028799995,-77.04431915299995,0.03813495859503746
-12.040108680999936,-77.04304504399994,0.03813495859503746
-12.039878844999919,-77.0404281619999,0.03813495859503746
-12.04003143299991,-77.0392456049999,0.03813495859503746
-12.04047870599993,-77.03703308099995,0.03813495859503746
-12.041283606999912,-77.03516387899992,0.03813495859503746
-12.04132175399991,-77.03506469699994,0.03813495859503746
-12.04234409299994,-77.03279113799994,0.03813495859503746
-12.04309272799992,-77.03096771199995,0.03813495859503746
-12.043471335999925,-77.02986907999991,0.03813495859503746
-12.04365062699992,-77.0278472899999,0.03813495859503746
-12.043478965999952,-77.02359771699992,0.03813495859503746
-12.043845176999923,-77.02158355699993,0.03813495859503746
-12.044481276999932,-77.01956939699994,0.03813495859503746
-12.044508933999907,-77.01816558799993,0.03813495859503746
-12.044052123999904,-77.01663207999991,0.03813495859503746
-12.043454169999904,-77.0153579709999,0.03813495859503746
-12.04163455999992,-77.01295471199995,0.03813495859503746
-12.04056739799995,-77.01135253899992,0.03813495859503746
-12.040081977999932,-77.01029205299994,0.03813495859503746
-12.039559363999956,-77.00921630899995,0.03813495859503746
-12.038657187999945,-77.00689697299993,0.03813495859503746
-12.03811931599995,-77.00560760499991,0.03813495859503746
-12.036810874999958,-77.00243377699991,0.03813495859503746
-12.035251616999915,-76.99848937999991,0.03813495859503746
-12.034835814999951,-76.99705505399993,0.03813495859503746
-12.034689902999958,-76.9953918459999,0.03813495859503746
-12.03500175499994,-76.99299621599994,0.03813495859503746
-12.036312102999943,-76.98979186999992,0.03813495859503746
-12.036534308999933,-76.98896026599994,0.03813495859503746
-12.036753653999938,-76.98876953099995,0.03813495859503746
-12.037257194999938,-76.98849487299992,0.03813495859503746
-12.038619040999947,-76.98738861099991,0.03813495859503746
-12.039844512999935,-76.98300170899995,0.03813495859503746
-12.040169715999923,-76.97566986099991,0.03813495859503746
-12.039403914999923,-76.97344970699993,0.03813495859503746
-12.03672313699991,-76.9700012209999,0.03813495859503746
-12.03454017599995,-76.96707153299991,0.03813495859503746
-12.033410071999924,-76.96508026099991,0.03813495859503746
-12.03225994099995,-76.96292877199994,0.03813495859503746
-12.030355452999913,-76.95837402299992,0.03813495859503746
-12.03000163999991,-76.95717620799991,0.03813495859503746
-12.029336928999953,-76.95502471899994,0.03813495859503746
-12.02860069299993,-76.95063018799993,0.03813495859503746
-12.028085708999924,-76.9476013179999,0.03813495859503746
-12.027729987999919,-76.94467163099995,0.03813495859503746
-12.027447700999915,-76.94278716999992,0.03813495859503746
-12.026964187999909,-76.9398803709999,0.03813495859503746
-12.026549338999928,-76.9373092649999,0.03813495859503746
-12.026216506999958,-76.93461608899992,0.03813495859503746
-12.025998115999926,-76.93338775599995,0.03813495859503746
-12.025717734999944,-76.9314117429999,0.03813495859503746
-12.02539539299994,-76.92901611299993,0.03813495859503746
-12.02460575099991,-76.92420196499995,0.03813495859503746
-12.024075507999953,-76.92056274399994,0.03813495859503746
-12.02376079599992,-76.9183578489999,0.03813495859503746
-12.023183822999954,-76.9147338869999,0.03813495859503746
-12.022865294999917,-76.9125366209999,0.03813495859503746
-12.022459983999909,-76.91055297899993,0.03813495859503746
-12.021889686999941,-76.90856170699993,0.03813495859503746
-12.021183967999946,-76.90639495799991,0.03813495859503746
-12.02042961099994,-76.9041213989999,0.03813495859503746
-12.019711493999921,-76.90202331499995,0.03813495859503746
-12.019142150999926,-76.9002151489999,0.03813495859503746
-12.018792151999946,-76.89871978799994,0.03813495859503746
-12.017686843999911,-76.8950347899999,0.03813495859503746
-12.016918181999927,-76.89252471899994,0.03813495859503746
-12.01615047499996,-76.89022064199992,0.03813495859503746
-12.01520729099991,-76.88745880099992,0.03813495859503746
-12.014736441999958,-76.88603579099993,0.03813495859503746
-12.014736441999958,-76.88603579099993,0.03813495859503746
-12.013705253999944,-76.8829193119999,0.03813495859503746
-12.012203216999922,-76.87858581499995,0.03813495859503746
-12.010561942999914,-76.87369537399991,0.03813495859503746
-12.01017761199995,-76.87202453599991,0.03813495859503746
-12.009688376999918,-76.86877441399992,0.03813495859503746
-12.009024619999934,-76.86524200399992,0.03813495859503746
-12.00843143499992,-76.86185455299994,0.03813495859503746
-12.007837295999934,-76.85885620099992,0.03813495859503746
-12.00685977899991,-76.85323333699995,0.03813495859503746
-12.006265639999924,-76.85025787399991,0.03813495859503746
-12.005532264999943,-76.84722137499995,0.03813495859503746
-12.003827094999906,-76.84459686299994,0.03813495859503746
-12.00207710299992,-76.84223937999991,0.03813495859503746
-12.00101852399996,-76.8410415649999,0.03813495859503746
-12.00000476799994,-76.83972167999991,0.03813495859503746
-11.99835300399991,-76.8379211429999,0.03813495859503746
-11.996947288999934,-76.83589935299995,0.03813495859503746
-11.995903014999953,-76.83441924999994,0.03813495859503746
-11.99514961199992,-76.8332824709999,0.03813495859503746
-11.994470595999928,-76.83171081499995,0.03813495859503746
-11.993549346999941,-76.82952117899993,0.03813495859503746
-11.992466926999953,-76.82682800299995,0.03813495859503746
-11.991520881999918,-76.82447051999992,0.03813495859503746
-11.990377425999952,-76.82177734399994,0.03813495859503746
-11.989443778999942,-76.81936645499991,0.03813495859503746
-11.988287925999941,-76.81661224399994,0.03813495859503746
-11.986862182999914,-76.81310272199994,0.03813495859503746
-11.985744475999923,-76.81038665799991,0.03813495859503746
-11.984970092999959,-76.80846404999994,0.03813495859503746
-11.984354972999938,-76.8067474369999,0.03813495859503746
-11.983597754999948,-76.80474853499993,0.03813495859503746
-11.982933997999908,-76.80195617699991,0.03813495859503746
-11.982480048999946,-76.79975891099991,0.03813495859503746
-11.981536864999953,-76.79584503199993,0.03813495859503746
-11.980663299999947,-76.79252624499992,0.03813495859503746
-11.979721068999936,-76.7881927489999,0.03813495859503746
-11.978987693999954,-76.7850189209999,0.03813495859503746
-11.97846317299991,-76.78288268999995,0.03813495859503746
-11.978044509999904,-76.78086090099993,0.03813495859503746
-11.977590560999943,-76.77851867699991,0.03813495859503746
-11.977240561999906,-76.77674102799995,0.03813495859503746
-11.975688933999947,-76.77301025399993,0.03813495859503746
-11.975111960999925,-76.77161407499995,0.03813495859503746
-11.974450110999953,-76.76977539099994,0.03813495859503746
-11.97414398199993,-76.76828002899992,0.03813495859503746
-11.973911284999929,-76.7660903929999,0.03813495859503746
-11.973257064999927,-76.76039123499993,0.03813495859503746
-11.972840308999935,-76.75899505599995,0.03813495859503746
-11.972386359999916,-76.75773620599995,0.03813495859503746
-11.971198081999944,-76.75476837199994,0.03813495859503746
-11.969800948999932,-76.75113677999991,0.03813495859503746
-11.968823432999955,-76.74879455599995,0.03813495859503746
-11.968299865999938,-76.74701690699993,0.03813495859503746
-11.967949866999959,-76.74593353299991,0.03813495859503746
-11.967705726999952,-76.74520111099991,0.03813495859503746
-11.967741012999909,-76.74453735399993,0.03813495859503746
-11.96739101399993,-76.74331664999994,0.03813495859503746
-11.966832160999957,-76.74170684799992,0.03813495859503746
-11.966378211999938,-76.74069213899992,0.03813495859503746
-11.965330123999934,-76.73922729499992,0.03813495859503746
-11.964352607999956,-76.73807525599995,0.03813495859503746
-11.96354961399993,-76.7369232179999,0.03813495859503746
-11.962923049999915,-76.73603820799991,0.03813495859503746
-11.962246894999907,-76.73534393299991,0.03813495859503746
-11.961532592999959,-76.7340316769999,0.03813495859503746
-11.961223601999905,-76.73338317899993,0.03813495859503746
-11.959086417999913,-76.73181915299995,0.03813495859503746
-11.958349227999918,-76.73131561299994,0.03813495859503746
-11.956498145999944,-76.72989654499992,0.03813495859503746
-11.955810546999942,-76.72927856399991,0.03813495859503746
-11.955225944999938,-76.72866058299991,0.03813495859503746
-11.954901694999933,-76.72814941399992,0.03813495859503746
-11.954442977999918,-76.72721862799995,0.03813495859503746
-11.953810691999934,-76.7246017459999,0.03813495859503746
-11.953549384999917,-76.72344207799995,0.03813495859503746
-11.95343398999995,-76.7231216429999,0.03813495859503746
-11.953059195999913,-76.72245025599995,0.03813495859503746
-11.952996253999913,-76.72112274199992,0.03813495859503746
-11.952711104999935,-76.72031402599993,0.03813495859503746
-11.95236396799993,-76.7197799679999,0.03813495859503746
-11.951771735999955,-76.71717071499995,0.03813495859503746
-11.951561927999933,-76.71578979499992,0.03813495859503746
-11.951533317999917,-76.71389770499991,0.03813495859503746
-11.951118468999937,-76.71229553199993,0.03813495859503746
-11.950509070999942,-76.71158599899991,0.03813495859503746
-11.949003219999952,-76.7111968989999,0.03813495859503746
-11.947849273999907,-76.7106704709999,0.03813495859503746
-11.947075843999926,-76.70914459199992,0.03813495859503746
-11.946152686999937,-76.70833587599992,0.03813495859503746
-11.94577217099993,-76.70799255399993,0.03813495859503746
-11.945514678999928,-76.70734405499991,0.03813495859503746
-11.945537566999917,-76.7050552369999,0.03813495859503746
-11.945424079999952,-76.70316314699994,0.03813495859503746
-11.945239066999932,-76.70165252699991,0.03813495859503746
-11.944632529999922,-76.70028686499995,0.03813495859503746
-11.94395351399993,-76.6992492679999,0.03813495859503746
-11.943646430999934,-76.69892883299991,0.03813495859503746
-11.94175529499995,-76.69687652599993,0.03813495859503746
-11.94012641899991,-76.69518279999994,0.03813495859503746
-11.938484191999919,-76.69349670399993,0.03813495859503746
-11.937086104999935,-76.69212341299993,0.03813495859503746
-11.936136245999933,-76.69163513199993,0.03813495859503746
-11.93445301099996,-76.69132232699991,0.03813495859503746
-11.93381500199996,-76.6912155149999,0.03813495859503746
-11.93313693999994,-76.6907043459999,0.03813495859503746
-11.932797431999916,-76.69022369399994,0.03813495859503746
-11.93259334599992,-76.68960571299993,0.03813495859503746
-11.932007789999943,-76.68902587899993,0.03813495859503746
-11.931146621999915,-76.68828582799995,0.03813495859503746
-11.930748939999944,-76.6880569459999,0.03813495859503746
-11.930455207999955,-76.68786621099991,0.03813495859503746
-11.930300712999951,-76.68761444099994,0.03813495859503746
-11.930175780999946,-76.6871032709999,0.03813495859503746
-11.930035590999921,-76.68688201899994,0.03813495859503746
-11.929483413999947,-76.68637847899993,0.03813495859503746
-11.927550315999952,-76.68388366699992,0.03813495859503746
-11.92637538899993,-76.68177032499995,0.03813495859503746
-11.926299094999933,-76.68072509799993,0.03813495859503746
-11.926380156999926,-76.67936706499995,0.03813495859503746
-11.926788329999908,-76.67855071999992,0.03813495859503746
-11.927332877999959,-76.67792510999993,0.03813495859503746
-11.92752265899992,-76.67745971699992,0.03813495859503746
-11.924361228999942,-76.6723403929999,0.8771824240684509
-11.924067496999953,-76.6698989869999,0.8771824240684509
-11.923904418999939,-76.66666412399991,0.8771824240684509
-11.92385005999995,-76.6638870239999,0.8771824240684509
-11.923874854999951,-76.66146850599995,0.8771824240684509
-11.92417716999995,-76.6592330929999,0.8771824240684509
-11.92481517799996,-76.6567535399999,0.8771824240684509
-11.92543506599992,-76.65515899699994,0.8771824240684509
-11.926271438999947,-76.65319061299994,0.8771824240684509
-11.926951407999923,-76.65169525099992,0.8771824240684509
-11.927359580999905,-76.6504211429999,0.8771824240684509
-11.92761897999992,-76.64883422899993,0.8771824240684509
-11.927925109999933,-76.64755248999995,0.8771824240684509
-11.927886962999935,-76.64631652799994,0.8771824240684509
-11.927577971999938,-76.6450881959999,0.8771824240684509
-11.927332877999959,-76.6441345209999,0.8771824240684509
-11.926979064999955,-76.64373016399992,0.8771824240684509
-11.926380156999926,-76.64347839399994,0.8771824240684509
-11.925183295999943,-76.64239501999992,0.8771824240684509
-11.925271033999934,-76.6410903929999,0.8771824240684509
-11.924612044999947,-76.63845062299993,0.8771824240684509
-11.923731803999942,-76.63648223899992,0.8771824240684509
-11.922870635999914,-76.63491058299991,0.8771824240684509
-11.92251682299991,-76.63374328599991,0.8771824240684509
-11.922381400999939,-76.63224792499994,0.8771824240684509
-11.92265319799992,-76.63131713899992,0.8771824240684509
-11.922598838999932,-76.6299362179999,0.8771824240684509
-11.922081946999924,-76.62715911899994,0.8771824240684509
-11.921156882999924,-76.62481689499992,0.8771824240684509
-11.919851302999916,-76.62220764199992,0.8771824240684509
-11.91830062899993,-76.61972808799993,0.8771824240684509
-11.916559218999907,-76.61766052199994,0.8771824240684509
-11.91528034199996,-76.61589813199993,0.8771824240684509
-11.913974761999953,-76.61420440699993,0.8771824240684509
-11.913423537999961,-76.61328124999994,0.8771824240684509
-11.913267135999945,-76.61263275099992,0.8771824240684509
-11.914055823999945,-76.6111373899999,0.8771824240684509
-11.914822577999928,-76.61018371599994,0.8771824240684509
-11.91487216899992,-76.60947418199993,0.8771824240684509
-11.914600371999938,-76.60806274399994,0.8771824240684509
-11.913838386999942,-76.6063461299999,0.8771824240684509
-11.913130759999945,-76.60356903099995,0.8771824240684509
-11.912163733999932,-76.59966278099995,0.8771824240684509
-11.911123275999955,-76.5978775019999,0.8771824240684509
-11.91051959999993,-76.59614562999991,0.8771824240684509
-11.909703254999954,-76.59505462599992,0.8771824240684509
-11.90894126899991,-76.59396362299992,0.8771824240684509
-11.908995627999957,-76.59298706099992,0.8771824240684509
-11.909186362999947,-76.5922241209999,0.8771824240684509
-11.909485816999904,-76.59114074699994,0.8771824240684509
-11.910002707999922,-76.59020996099991,0.8771824240684509
-11.91106319399995,-76.58912658699995,0.8771824240684509
-11.911770820999948,-76.58833312999991,0.8771824240684509
-11.912260055999923,-76.58740997299992,0.8771824240684509
-11.912315368999941,-76.58539581299993,0.8771824240684509
-11.912015914999927,-76.5831909179999,0.8771824240684509
-11.911171912999919,-76.58052825899995,0.8771824240684509
-11.91027450599995,-76.57889556899994,0.8771824240684509
-11.909143447999952,-76.57741546599993,0.8771824240684509
-11.909104346999925,-76.57587432899993,0.8771824240684509
-11.90954017599995,-76.57424163799993,0.8771824240684509
-11.909648894999918,-76.57340240499991,0.8771824240684509
-11.91027450599995,-76.57250213599991,0.8771824240684509
-11.911008834999905,-76.57184600799991,0.8771824240684509
-11.911471366999933,-76.57144164999994,0.8771824240684509
